epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,581.355,0.84328,1.24317,1.06135,0.87813,0.66517,0.77159,0.5907,0.93311,2.04645,1.14255,0.0014852,0.0014852,0.0014852
28,608.56,1.02813,1.62675,1.15433,0.83838,0.66154,0.77377,0.59897,0.90503,1.98475,1.15404,0.0014654,0.0014654,0.0014654
29,637.874,0.88156,1.25932,1.05272,0.78264,0.73846,0.80395,0.60647,0.89223,1.7789,1.14965,0.0014456,0.0014456,0.0014456
30,665.025,0.85992,1.27433,1.0035,0.80997,0.86154,0.87599,0.68605,0.84504,1.50653,1.10015,0.0014258,0.0014258,0.0014258
31,691.923,0.79623,1.1966,1.03617,0.80997,0.86154,0.87599,0.68605,0.84504,1.50653,1.10015,0.001406,0.001406,0.001406
32,722.967,0.87527,1.1934,1.09322,0.79705,0.81538,0.87023,0.67553,0.83421,1.47911,1.06944,0.0013862,0.0013862,0.0013862
33,763.592,0.85151,1.12837,1.03462,0.81161,0.78462,0.86961,0.66248,0.78265,1.56069,1.04377,0.0013664,0.0013664,0.0013664
34,796.085,0.85652,1.15206,1.03787,0.80311,0.81538,0.86522,0.68429,0.77284,1.50593,1.04971,0.0013466,0.0013466,0.0013466
35,821.154,0.8198,1.20184,1.03001,0.80311,0.81538,0.86522,0.68429,0.77284,1.50593,1.04971,0.0013268,0.0013268,0.0013268
36,847.508,0.80724,1.11593,1.01804,0.81969,0.86154,0.91074,0.73081,0.73823,1.42825,1.03916,0.001307,0.001307,0.001307
37,874.82,0.82967,1.18862,1.07004,0.89772,0.95385,0.94283,0.77802,0.70421,1.24062,0.99544,0.0012872,0.0012872,0.0012872
38,900.394,0.75884,1.13512,1.02399,0.90634,0.93846,0.96277,0.78242,0.73629,1.23778,0.99978,0.0012674,0.0012674,0.0012674
39,928.282,0.83219,1.06007,1.00824,0.90634,0.93846,0.96277,0.78242,0.73629,1.23778,0.99978,0.0012476,0.0012476,0.0012476
